product_name,review_text,rating
"Men's Casual Shirt","The fabric is very soft and comfortable. Fits perfectly!",5
"Women's Sneakers","Stylish design but size runs a bit small.",4
"Bluetooth Earphones","Sound quality is average. Battery drains quickly.",2
"Men's Watch","Looks premium, but strap broke within a week.",1
"Women's Handbag","Spacious and trendy. Loved it!",5
"Running Shoes","Good for jogging, but sole wears out fast.",3
"Men's Jacket","Keeps me warm. Material feels durable.",5
"Smartphone Case","Color faded after a month. Not satisfied.",2
"Formal Trousers","Perfect fit and great quality. Highly recommend.",5
"Yoga Mat","Comfortable for exercises but a bit slippery.",4
